X,Y,,,,,,value
0,43,,,,,,Pass
1,43,,,,,,Pass
2,43,,,,,,Pass
3,43,,,,,,Pass
4,43,,,,,,Pass
5,43,,,,,,Pass
6,43,,,,,,Pass
7,43,,,,,,Pass
8,43,,,,,,Pass
10,43,,,,,,Pass
11,43,,,,,,Pass
12,43,,,,,,Pass
13,43,,,,,,Pass
14,43,,,,,,Pass
15,43,,,,,,Pass
16,43,,,,,,Pass
17,43,,,,,,Pass
18,43,,,,,,Pass
19,43,,,,,,Pass
20,43,,,,,,Pass
21,43,,,,,,Pass
22,43,,,,,,Pass
23,43,,,,,,Pass
24,43,,,,,,Pass
25,43,,,,,,Pass
26,42,,,,,,Pass
25,42,,,,,,Pass
24,42,,,,,,Pass
23,42,,,,,,Pass
22,42,,,,,,Pass
21,42,,,,,,Pass
20,42,,,,,,Pass
19,42,,,,,,Pass
18,42,,,,,,Pass
17,42,,,,,,Pass
16,42,,,,,,Pass
15,42,,,,,,Pass
14,42,,,,,,Pass
13,42,,,,,,Pass
12,42,,,,,,Pass
11,42,,,,,,Pass
10,42,,,,,,Pass
9,42,,,,,,Pass
8,42,,,,,,Pass
7,42,,,,,,Pass
6,42,,,,,,Pass
5,42,,,,,,Pass
4,42,,,,,,Pass
3,42,,,,,,Pass
2,42,,,,,,Pass
1,42,,,,,,Pass
0,42,,,,,,Pass
-1,42,,,,,,Pass
-2,42,,,,,,Pass
-3,42,,,,,,Pass
-4,42,,,,,,Pass
-5,42,,,,,,Pass
-6,42,,,,,,Pass
-7,42,,,,,,Pass
-8,42,,,,,,Pass
-9,42,,,,,,Pass
-10,42,,,,,,Pass
-11,42,,,,,,Pass
-12,42,,,,,,Pass
-13,42,,,,,,Pass
-14,42,,,,,,Pass
-15,41,,,,,,Pass
-14,41,,,,,,Pass
-13,41,,,,,,Pass
-12,41,,,,,,Pass
-11,41,,,,,,Pass
-10,41,,,,,,Pass
-9,41,,,,,,Pass
-8,41,,,,,,Pass
-7,41,,,,,,Pass
-6,41,,,,,,Pass
-5,41,,,,,,Pass
-4,41,,,,,,Pass
-3,41,,,,,,Pass
-2,41,,,,,,Pass
-1,41,,,,,,Pass
0,41,,,,,,Pass
1,41,,,,,,Pass
2,41,,,,,,Pass
3,41,,,,,,Pass
4,41,,,,,,Pass
5,41,,,,,,Pass
6,41,,,,,,Pass
7,41,,,,,,Pass
8,41,,,,,,Pass
9,41,,,,,,Pass
10,41,,,,,,Pass
11,41,,,,,,Pass
12,41,,,,,,Pass
13,41,,,,,,Pass
14,41,,,,,,Pass
15,41,,,,,,Pass
17,41,,,,,,Pass
18,41,,,,,,Pass
19,41,,,,,,Pass
20,41,,,,,,Pass
21,41,,,,,,Pass
22,41,,,,,,Pass
23,41,,,,,,Pass
24,41,,,,,,Pass
25,41,,,,,,Pass
26,41,,,,,,Pass
27,40,,,,,,Pass
26,40,,,,,,Pass
25,40,,,,,,Pass
24,40,,,,,,Pass
23,40,,,,,,Pass
22,40,,,,,,Pass
21,40,,,,,,Pass
20,40,,,,,,Pass
19,40,,,,,,Pass
18,40,,,,,,Pass
17,40,,,,,,Pass
16,40,,,,,,Pass
15,40,,,,,,Pass
14,40,,,,,,Pass
13,40,,,,,,Pass
12,40,,,,,,Pass
11,40,,,,,,Pass
10,40,,,,,,Pass
9,40,,,,,,Pass
8,40,,,,,,Pass
7,40,,,,,,Pass
6,40,,,,,,Pass
5,40,,,,,,Pass
4,40,,,,,,Pass
3,40,,,,,,Pass
2,40,,,,,,Pass
1,40,,,,,,Pass
0,40,,,,,,Pass
-1,40,,,,,,Pass
-2,40,,,,,,Pass
-3,40,,,,,,Pass
-4,40,,,,,,Pass
-5,40,,,,,,Pass
-6,40,,,,,,Pass
-7,40,,,,,,Pass
-8,40,,,,,,Pass
-10,40,,,,,,Pass
-11,40,,,,,,Pass
-12,40,,,,,,Pass
-13,40,,,,,,Pass
-14,40,,,,,,Pass
-15,40,,,,,,Pass
-16,40,,,,,,Pass
-15,39,,,,,,Pass
-14,39,,,,,,Pass
-13,39,,,,,,Pass
-12,39,,,,,,Pass
-11,39,,,,,,Pass
-10,39,,,,,,Pass
-9,39,,,,,,Pass
-8,39,,,,,,Pass
-7,39,,,,,,Pass
-6,39,,,,,,Pass
-5,39,,,,,,Pass
-4,39,,,,,,Pass
-3,39,,,,,,Pass
-2,39,,,,,,Pass
-1,39,,,,,,Pass
0,39,,,,,,Pass
1,39,,,,,,Pass
